Timestamps,Roll_N,Pitch_E,Yaw_U
1679940361.07932,-0.95,1.53,-96.16
1679940362.012649,-1.1222703906096678,1.0565091892432317,-99.27137812494453
1679940362.04597,-1.3334605638151522,0.578243003336277,-102.33797549174591
1679940362.079255,-1.5752780772885469,0.09544921010435403,-105.36948176127956
1679940363.01263,-1.809137170657815,-0.38674708813902964,-108.40613006854176
1679940363.045954,-2.0003662620447997,-0.8678743739226036,-111.48857561224979
1679940363.0793,-2.164488363871886,-1.3500006200223849,-114.60219889043893
1679940364.01261,-2.316271672080673,-1.827591369250681,-117.72922687726034
1679940364.045942,-2.4528951857646315,-2.3048287332218096,-114.59335691048193
1679940364.079283,-2.566869962057875,-2.7817301275302087,-111.48851741651686
1679940365.012559,-2.6604748920239865,-3.254604523503602,-108.41440446661743
1679940365.045882,-2.7560809530434827,-3.7261602721483396,-105.34268095169581
1679940365.079224,-2.8570724900642386,-4.213824910264543,-102.2566153287748
1679940366.012541,-2.941786712404412,-4.707350549065188,-99.17124379939114
1679940366.045867,-3.002580538455646,-5.194840567607359,-96.09830466934844
1679940366.079205,-3.0561045485833587,-5.675503928803538,-93.03031549377276
1679940367.012529,-3.107587841123392,-6.149787311324512,-89.96849232696707
1679940367.045851,-3.1668883850256417,-6.6175083345977,-86.9083768240571
1679940367.079199,-3.234939670185853,-7.089499798275922,-83.84943107439926
1679940368.012513,-3.301814364933552,-7.5662403757026935,-80.79327735382876
1679940368.045836,-3.3607812703404227,-8.038391411028346,-77.73702273599436
1679940368.079165,-3.4139789263622355,-8.509060008254746,-74.6761801425091
1679940369.012498,-3.468005811350976,-8.979408047437515,-71.60721218266744
1679940369.045826,-3.5157538751654585,-9.450175844471831,-68.54227022080592
1679940369.079156,-3.5629224595571856,-9.930816010672617,-65.47796584524627
1679940370.012482,-3.610251431862492,-10.420689108378989,-62.415188875065056
1679940370.04581,-3.6565105476429047,-10.906819012710873,-59.36120807471414
1679940370.079146,-3.7077792347347636,-11.392506240729391,-56.30702601906205
1679940371.012471,-3.761049475128499,-11.884637434978446,-53.254103478467364
1679940371.045799,-3.8161455725445563,-12.376486548857494,-50.1967468495182
1679940371.079274,-3.8643301967055077,-12.868477070129615,-47.14126318633045
1679940372.012458,-3.907299617042341,-13.358268146891902,-44.082477410400706
1679940372.045792,-3.9504193521060027,-13.848173998624745,-41.01695052219496
1679940372.079117,-3.9930608534226346,-14.33266534626657,-37.94993552594922
1679940373.012445,-4.038757776680004,-14.814245303062524,-34.88527320307381
1679940373.04577,-4.0944992033161345,-15.29092629156956,-31.824475498074193
1679940373.079097,-4.148607033737937,-15.772609415458822,-28.772928249250384
1679940374.012451,-4.1975906302771815,-16.260660091132834,-25.716147542140376
1679940374.04576,-4.240417788139567,-16.75385773732238,-22.65096307955963
1679940374.079089,-4.270062054808341,-17.23608170975535,-19.594950681520924
